timestamp,obstacle_count,iteration,model,start_pos,goal_pos,success,collision,timeout,steps,final_distance,duration_seconds,error,obstacle_positions
2025-11-03T20:28:31.575190,2,6,Neurosymbolic,"[3.0, -3.0, 1.0]","[1.0021232800749003, -2.010842155266958, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'box', 'pos': [-3.2498228934390636, 2.7488972215247616, 1.0], 'size': [0.08410118771923132, 0.10431321109228041, 1.0], 'color': [0.8837611543279608, 0.29618334584750017, 0.6333719883386233, 1.0]}, {'id': 'test_obs_1', 'shape': 'cylinder', 'pos': [2.821925905041633, 0.885209485654457, 1.0], 'size': [0.059182870244274974, 1.0], 'color': [0.7040846822624157, 0.273091614725258, 0.520638307827589, 1.0]}]"
2025-11-03T20:28:31.617046,2,7,Pure Neural,"[3.0, -3.0, 1.0]","[-2.026879929152332, -1.5634886255101157, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'cylinder', 'pos': [-1.1791093642828452, 1.2539078848244092, 1.0], 'size': [0.08570038093953028, 1.0], 'color': [0.826372516601945, 0.27583892442083907, 0.5190385228483847, 1.0]}, {'id': 'test_obs_1', 'shape': 'cylinder', 'pos': [-0.9492373153899164, 3.0658206320441392, 1.0], 'size': [0.0527943112240803, 1.0], 'color': [0.8541324228132593, 0.13353321566868762, 0.6551291065268812, 1.0]}]"
2025-11-03T20:28:31.661502,2,7,Neurosymbolic,"[3.0, -3.0, 1.0]","[-2.026879929152332, -1.5634886255101157, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'cylinder', 'pos': [-1.1791093642828452, 1.2539078848244092, 1.0], 'size': [0.08570038093953028, 1.0], 'color': [0.826372516601945, 0.27583892442083907, 0.5190385228483847, 1.0]}, {'id': 'test_obs_1', 'shape': 'cylinder', 'pos': [-0.9492373153899164, 3.0658206320441392, 1.0], 'size': [0.0527943112240803, 1.0], 'color': [0.8541324228132593, 0.13353321566868762, 0.6551291065268812, 1.0]}]"
2025-11-03T20:28:31.704570,2,8,Pure Neural,"[3.0, 3.0, 1.0]","[-1.4496494059918792, -1.868950265013676, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'cylinder', 'pos': [0.6643284201363608, 2.916880026019877, 1.0], 'size': [0.0922217268318036, 1.0], 'color': [0.6699414741065394, 0.6374327779386156, 0.21427186764161457, 1.0]}, {'id': 'test_obs_1', 'shape': 'cylinder', 'pos': [-2.5490282911611346, 3.0002250487811537, 1.0], 'size': [0.06165027773170067, 1.0], 'color': [0.36829096742538425, 0.14407678818617484, 0.42566553662518114, 1.0]}]"
2025-11-03T20:28:31.745896,2,8,Neurosymbolic,"[3.0, 3.0, 1.0]","[-1.4496494059918792, -1.868950265013676, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'cylinder', 'pos': [0.6643284201363608, 2.916880026019877, 1.0], 'size': [0.0922217268318036, 1.0], 'color': [0.6699414741065394, 0.6374327779386156, 0.21427186764161457, 1.0]}, {'id': 'test_obs_1', 'shape': 'cylinder', 'pos': [-2.5490282911611346, 3.0002250487811537, 1.0], 'size': [0.06165027773170067, 1.0], 'color': [0.36829096742538425, 0.14407678818617484, 0.42566553662518114, 1.0]}]"
2025-11-03T20:28:31.790446,2,9,Pure Neural,"[-3.0, -3.0, 1.0]","[2.924965628089951, 1.9756746346105523, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'cylinder', 'pos': [-0.9416083145554837, 3.2781073388498965, 1.0], 'size': [0.08650035026615877, 1.0], 'color': [0.4535752086612218, 0.12248665335226515, 0.39643019212735664, 1.0]}, {'id': 'test_obs_1', 'shape': 'box', 'pos': [3.261844932304068, 3.07035065823706, 1.0], 'size': [0.07303363128114759, 0.08129983904058803, 1.0], 'color': [0.3360519850688365, 0.24230885281982167, 0.20381999570034035, 1.0]}]"
2025-11-03T20:28:31.833139,2,9,Neurosymbolic,"[-3.0, -3.0, 1.0]","[2.924965628089951, 1.9756746346105523, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'cylinder', 'pos': [-0.9416083145554837, 3.2781073388498965, 1.0], 'size': [0.08650035026615877, 1.0], 'color': [0.4535752086612218, 0.12248665335226515, 0.39643019212735664, 1.0]}, {'id': 'test_obs_1', 'shape': 'box', 'pos': [3.261844932304068, 3.07035065823706, 1.0], 'size': [0.07303363128114759, 0.08129983904058803, 1.0], 'color': [0.3360519850688365, 0.24230885281982167, 0.20381999570034035, 1.0]}]"
2025-11-03T20:28:31.875097,2,10,Pure Neural,"[3.0, 3.0, 1.0]","[-1.4656911421134788, 0.1916741841895231, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'cylinder', 'pos': [-0.882562464947556, -1.366015564368447, 1.0], 'size': [0.051889524320182775, 1.0], 'color': [0.7232511603187073, 0.7242465475224023, 0.6584630147540718, 1.0]}, {'id': 'test_obs_1', 'shape': 'cylinder', 'pos': [-0.9166848180195675, 1.0268832758151225, 1.0], 'size': [0.07061833933959183, 1.0], 'color': [0.6423138259604457, 0.5710491321765633, 0.8034462322049784, 1.0]}]"
2025-11-03T20:28:31.917146,2,10,Neurosymbolic,"[3.0, 3.0, 1.0]","[-1.4656911421134788, 0.1916741841895231, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'cylinder', 'pos': [-0.882562464947556, -1.366015564368447, 1.0], 'size': [0.051889524320182775, 1.0], 'color': [0.7232511603187073, 0.7242465475224023, 0.6584630147540718, 1.0]}, {'id': 'test_obs_1', 'shape': 'cylinder', 'pos': [-0.9166848180195675, 1.0268832758151225, 1.0], 'size': [0.07061833933959183, 1.0], 'color': [0.6423138259604457, 0.5710491321765633, 0.8034462322049784, 1.0]}]"
2025-11-03T20:28:31.958025,3,1,Pure Neural,"[3.0, 3.0, 1.0]","[-2.657602954352532, -0.23267043553376254, 1.0]",False,False,False,0,999.0,0,`launch_passive` requires that the Python script be run under `mjpython` on macOS,"[{'id': 'test_obs_0', 'shape': 'cylinder', 'pos': [1.123091123341576, -1.274499907181687, 1.0], 'size': [0.08981669915969329, 1.0], 'color': [0.4491821905451342, 0.7063812687605999, 0.69686714356614, 1.0]}, {'id': 'test_obs_1', 'shape': 'box', 'pos': [2.574724221349613, -3.3578018228561466, 1.0], 'size': [0.06266023507413918, 0.09122477364481849, 1.0], 'color': [0.8802087582856911, 0.28768978560872116, 0.5256259901419046, 1.0]}, {'id': 'test_obs_2', 'shape': 'cylinder', 'pos': [2.686540349041483, -1.461757009423041, 1.0], 'size': [0.06438002357237609, 1.0], 'color': [0.7086963385888996, 0.19138768620570518, 0.5776930557371642, 1.0]}]"
