map_seed,level,model,goal_reached,number_of_steps,collision,out_of_bound
122,13,Neurosymbolic,True,4532,False,False
122,13,AR_PPO,False,1620,True,False
123,13,Pure Neural,False,5000,False,False
123,13,Neurosymbolic,True,3512,False,False
123,13,AR_PPO,True,1767,False,False
124,13,Pure Neural,False,5000,False,False
124,13,Neurosymbolic,True,1245,False,False
124,13,AR_PPO,True,870,False,False
125,13,Pure Neural,True,1356,False,False
125,13,Neurosymbolic,True,2060,False,False
125,13,AR_PPO,False,309,True,False
126,13,Pure Neural,True,9477,False,False
126,13,Neurosymbolic,True,1413,False,False
126,13,AR_PPO,False,5000,False,False
127,13,Pure Neural,False,5000,False,False
127,13,Neurosymbolic,True,4222,False,False
127,13,AR_PPO,False,16,True,False
128,13,Pure Neural,False,5000,False,False
128,13,Neurosymbolic,True,1380,False,False
128,13,AR_PPO,False,5000,False,False
129,13,Pure Neural,False,5000,False,False
129,13,Neurosymbolic,True,2058,False,False
129,13,AR_PPO,True,787,False,False
130,13,Pure Neural,True,1160,False,False
130,13,Neurosymbolic,True,4143,False,False
130,13,AR_PPO,False,5000,False,False
131,14,Pure Neural,False,5000,False,False
131,14,Neurosymbolic,True,1811,False,False
131,14,AR_PPO,False,5000,False,False
132,14,Pure Neural,True,1231,False,False
132,14,Neurosymbolic,True,1726,False,False
132,14,AR_PPO,False,5000,False,False
133,14,Pure Neural,True,2924,False,False
133,14,Neurosymbolic,True,2409,False,False
133,14,AR_PPO,True,1010,False,False
134,14,Pure Neural,True,987,False,False
134,14,Neurosymbolic,True,3065,False,False
134,14,AR_PPO,True,678,False,False
135,14,Pure Neural,False,5000,False,False
135,14,Neurosymbolic,False,7392,True,False
135,14,AR_PPO,False,1278,True,False
136,14,Pure Neural,True,491,False,False
136,14,Neurosymbolic,True,542,False,False
136,14,AR_PPO,True,475,False,False
137,14,Pure Neural,True,2381,False,False
137,14,Neurosymbolic,False,11754,True,False
137,14,AR_PPO,False,5000,False,False
138,14,Pure Neural,True,1684,False,False
138,14,Neurosymbolic,True,3138,False,False
138,14,AR_PPO,False,5000,False,False
139,14,Pure Neural,False,5000,False,False
139,14,Neurosymbolic,True,3592,False,False
139,14,AR_PPO,False,827,True,False
140,14,Pure Neural,False,5000,False,False
140,14,Neurosymbolic,True,1454,False,False
140,14,AR_PPO,False,5000,False,False
141,15,Pure Neural,False,5000,False,False
141,15,Neurosymbolic,False,7236,True,False
141,15,AR_PPO,False,1317,True,False
142,15,Pure Neural,False,1500,True,False
142,15,Neurosymbolic,True,2537,False,False
142,15,AR_PPO,False,5000,False,False
143,15,Pure Neural,True,1549,False,False
143,15,Neurosymbolic,True,2859,False,False
143,15,AR_PPO,False,5000,False,False
144,15,Pure Neural,True,1710,False,False
144,15,Neurosymbolic,True,1357,False,False
144,15,AR_PPO,True,665,False,False
145,15,Pure Neural,True,1129,False,False
145,15,Neurosymbolic,True,2542,False,False
145,15,AR_PPO,True,702,False,False
146,15,Pure Neural,False,2465,True,False
146,15,Neurosymbolic,False,5341,True,False
146,15,AR_PPO,False,1402,True,False
147,15,Pure Neural,False,5000,False,False
147,15,Neurosymbolic,True,4928,False,False
147,15,AR_PPO,False,5000,False,False
148,15,Pure Neural,True,1316,False,False
148,15,Neurosymbolic,True,5125,False,False
148,15,AR_PPO,False,5000,False,False
149,15,Pure Neural,False,5000,False,False
149,15,Neurosymbolic,False,6708,True,False
149,15,AR_PPO,False,1571,True,False
150,15,Pure Neural,False,5000,False,False
150,15,Neurosymbolic,True,5103,False,False
150,15,AR_PPO,False,5000,False,False
